gender	age	attitude	deep	stra	surf
1	F	53	37	3.58333333333333	3.375	2.58333333333333
2	M	55	31	2.91666666666667	2.75	3.16666666666667
3	F	49	25	3.5	3.625	2.25
4	M	53	35	3.5	3.125	2.25
5	M	49	37	3.66666666666667	3.625	2.83333333333333
6	F	38	38	4.75	3.625	2.41666666666667
7	M	50	35	3.83333333333333	2.25	1.91666666666667
8	F	37	29	3.25	4	2.83333333333333
9	M	37	38	4.33333333333333	4.25	2.16666666666667
10	F	42	21	4	3.5	3
11	M	37	39	3.58333333333333	3.625	2.66666666666667
12	F	34	38	3.83333333333333	4.75	2.41666666666667
13	F	34	24	4.25	3.625	2.25
14	F	34	30	3.33333333333333	3.5	2.75
15	M	35	26	4.16666666666667	1.75	2.33333333333333
16	F	46	25	3.08333333333333	3.125	2.66666666666667
17	F	33	41	3.66666666666667	3.875	2.33333333333333
18	F	32	26	4.08333333333333	1.375	2.91666666666667
19	F	44	26	3.5	3.25	2.5
20	M	29	17	4.08333333333333	3	3.75
21	F	30	27	4	3.75	2.75
22	M	27	39	3.91666666666667	2.625	2.33333333333333
23	M	29	34	4	2.375	2.41666666666667
24	F	31	27	4	3.625	3
25	F	37	23	3.66666666666667	2.75	2.41666666666667
26	F	26	37	3.66666666666667	1.75	2.83333333333333
27	F	26	44	4.41666666666667	3.25	3.16666666666667
28	M	30	41	3.91666666666667	4	3
29	F	37	24	3.83333333333333	2.125	2.16666666666667
30	F	33	37	3.75	3.625	2
31	F	33	25	3.25	2.875	3.5
32	M	28	30	3.58333333333333	3	3.75
33	M	26	34	4.91666666666667	1.625	2.5
34	F	27	32	3.58333333333333	3.25	2.08333333333333
35	F	25	20	2.91666666666667	3.5	2.41666666666667
36	F	31	24	3.66666666666667	3	2.58333333333333
37	M	20	42	4.5	3.25	1.58333333333333
38	F	39	16	4.08333333333333	1.875	2.83333333333333
39	M	38	31	3.83333333333333	4.375	1.83333333333333
40	M	24	38	3.25	3.625	2.41666666666667
41	M	26	38	2.33333333333333	2.5	3.25
42	M	25	33	3.33333333333333	1.25	3.41666666666667
43	F	30	17	4.08333333333333	4	3.41666666666667
44	F	25	25	2.91666666666667	3	3.16666666666667
45	M	30	32	3.33333333333333	2.5	3.5
46	F	48	35	3.83333333333333	4.875	2.66666666666667
47	F	24	32	3.66666666666667	5	2.41666666666667
48	F	40	42	4.66666666666667	4.375	3.58333333333333
49	M	25	31	3.75	3.25	2.08333333333333
50	F	23	39	3.41666666666667	4	3.75
51	F	25	19	4.16666666666667	3.125	2.91666666666667
52	F	23	21	2.91666666666667	2.5	2.91666666666667
53	M	27	25	4.16666666666667	3.125	2.41666666666667
54	M	25	32	3.58333333333333	3.25	3
55	M	23	32	2.83333333333333	2.125	3.41666666666667
56	F	23	26	4	2.75	2.91666666666667
57	F	23	23	2.91666666666667	2.375	3.25
58	F	45	38	3	3.125	3.25
59	F	22	28	4.08333333333333	4	2.33333333333333
60	F	23	33	2.91666666666667	4	3.25
61	M	21	48	3.5	2.25	2.5
62	M	21	40	4.33333333333333	3.25	1.75
63	F	21	40	4.25	3.625	2.25
64	F	21	47	3.41666666666667	3.625	2.08333333333333
65	F	26	23	3.08333333333333	2.5	2.83333333333333
66	F	25	31	4.58333333333333	1.875	2.83333333333333
67	F	26	27	3.41666666666667	2	2.41666666666667
68	M	21	41	3.41666666666667	1.875	2.25
69	F	22	34	3.5	2.625	2.33333333333333
70	F	23	34	3.41666666666667	4	2.83333333333333
71	F	22	25	3.58333333333333	2.875	2.25
72	F	22	21	1.58333333333333	3.875	1.83333333333333
73	F	22	14	3.33333333333333	2.5	2.91666666666667
74	F	23	19	4.33333333333333	2.75	2.91666666666667
75	M	22	37	4.41666666666667	4.5	2.08333333333333
76	M	25	41	4.58333333333333	3.5	2.66666666666667
77	M	23	32	4.83333333333333	3.375	2.33333333333333
78	M	24	28	3.08333333333333	2.625	2.41666666666667
79	F	22	41	3	4.125	2.75
80	F	23	25	4.08333333333333	2.625	3.25
81	M	22	28	4.08333333333333	2.25	1.75
82	M	20	38	3.75	2.75	2.58333333333333
83	M	22	31	3.08333333333333	3	3.33333333333333
84	M	21	35	4.75	1.625	2.83333333333333
85	F	22	36	4.25	1.875	2.5
86	F	23	26	4.16666666666667	3.375	2.41666666666667
87	M	21	44	4.41666666666667	3.75	2.41666666666667
88	M	22	45	3.83333333333333	2.125	2.58333333333333
89	M	29	32	3.33333333333333	2.375	3
90	F	26	20	3.41666666666667	1.75	2.33333333333333
91	F	29	39	3.16666666666667	2.75	2
92	F	21	25	3.16666666666667	3.125	3.41666666666667
93	M	28	33	3.83333333333333	3.5	2.83333333333333
94	M	23	35	4.16666666666667	1.625	3.41666666666667
95	F	21	33	4.25	2.625	2.25
96	F	30	30	3.83333333333333	3.375	2.75
97	F	21	29	3.66666666666667	2.25	3.91666666666667
98	M	23	33	3.83333333333333	3	2.33333333333333
99	F	21	33	3.83333333333333	4	2.75
100	F	21	35	3.83333333333333	3.5	2.75
101	F	20	36	3.66666666666667	2.625	2.91666666666667
102	M	21	42	4.16666666666667	2.875	2.66666666666667
103	M	22	37	4.33333333333333	2.5	2.08333333333333
104	F	35	28	4.41666666666667	3.25	3.58333333333333
105	M	21	42	3.75	3.75	3.66666666666667
106	M	22	22	2.66666666666667	2	3.41666666666667
107	M	21	32	4.16666666666667	3.625	2.83333333333333
108	F	20	50	4	4.125	3.41666666666667
109	M	22	47	4	4.375	1.58333333333333
110	F	20	36	4.58333333333333	2.625	2.91666666666667
111	F	20	36	3.66666666666667	4	3
112	M	24	29	3.66666666666667	2.75	2.91666666666667
113	F	20	35	3.83333333333333	2.75	2.66666666666667
114	F	19	40	2.58333333333333	1.375	3
115	F	21	35	3.5	2.25	2.75
116	F	21	32	3.08333333333333	3.625	3.08333333333333
117	F	22	26	4.25	3.75	2.5
118	F	25	20	3.16666666666667	4	2.33333333333333
119	F	21	27	3.08333333333333	3.125	3
120	F	22	32	4.16666666666667	3.25	3
121	F	25	33	2.25	2.125	4
122	F	20	39	3.33333333333333	2.875	3.25
123	M	24	33	3.08333333333333	1.5	3.5
124	F	20	30	2.75	2.5	3.5
125	M	21	37	3.25	3.25	3.83333333333333
126	F	26	14	3.75	3.25	3.08333333333333
127	M	28	30	4.75	2.5	2.5
128	F	20	25	4	3.625	2.91666666666667
129	F	20	29	3.58333333333333	3.875	2.16666666666667
130	M	31	39	4.08333333333333	3.875	1.66666666666667
131	F	20	36	4.25	2.375	2.08333333333333
132	F	22	29	3.41666666666667	3	2.83333333333333
133	F	22	21	3.08333333333333	3.375	3.41666666666667
134	M	21	31	3.5	2.75	3.33333333333333
135	F	20	24	3.91666666666667	3.125	3.5
136	M	22	40	3.66666666666667	4.5	2.58333333333333
137	F	21	31	4.25	2.625	2.83333333333333
138	F	21	23	4.25	2.75	3.33333333333333
139	F	21	28	3.83333333333333	3.25	3
140	F	21	37	4.41666666666667	4.125	2.58333333333333
141	F	20	26	3.5	3.375	2.41666666666667
142	F	21	24	3.58333333333333	2.75	3.58333333333333
143	F	25	30	3.66666666666667	4.125	2.08333333333333
144	F	27	29	4.25	3	2.75
145	F	20	32	3.75	4.125	3.91666666666667
146	M	21	28	2.08333333333333	3.25	4.33333333333333
147	F	24	29	4.25	2.875	2.66666666666667
148	F	20	24	3.58333333333333	2.875	3
149	M	21	31	4	2.375	2.66666666666667
150	F	20	19	3.33333333333333	3.875	2.16666666666667
151	F	20	20	3.5	2.125	2.66666666666667
152	F	18	38	3.16666666666667	4	2.25
153	F	21	34	3.58333333333333	3.25	2.66666666666667
154	F	19	37	3.41666666666667	2.625	3.33333333333333
155	F	21	29	4.25	2.75	3.5
156	F	20	23	3.25	4	2.75
157	M	21	41	4.41666666666667	3	2
158	F	20	27	3.25	3.375	2.83333333333333
159	F	21	35	3.91666666666667	3.875	3.5
160	F	20	34	3.58333333333333	3.25	2.5
161	F	18	32	4.5	3.375	3.16666666666667
162	M	22	33	3.58333333333333	4.125	3.08333333333333
163	F	22	33	3.66666666666667	3.5	2.91666666666667
164	M	24	35	2.58333333333333	2	3.16666666666667
165	F	19	32	4.16666666666667	3.625	2.5
166	F	20	31	3.25	3.375	3.83333333333333
167	F	21	24	3.58333333333333	2.25	2.83333333333333
168	F	20	28	4.33333333333333	2.125	2.25
169	F	17	17	3.91666666666667	4.625	3.41666666666667
170	M	19	19	2.66666666666667	2.5	3.75
